Date,Client,Group,Publication / Account,Tier,Reach / Circulation,Topic / Coverage Focus,Link,Placement Type,MAV (Rs.),Notes,Date Note,Logged On,MAV Method
2026-07,JW Marriott Kolkata,Hotels,,,,,https://www.instagram.com/p/DakxB_qE6f9/,Mention,,,exact date TBD,,
2026-07-06,JW Marriott Kolkata,Hotels,Hospibuz,Tier 3,,"INJA (Delhi, No.75 World's 50 Best Asia) takes over Vintage Asia, July 17-19",https://hospibuz.com/hotel/Hotel-listicles/inja-takes-over-vintage-asia-at-jw-marriott-kolkata-12139386,Feature,,,approx,,
2026-07-06,JW Marriott Kolkata,Hotels,Hospitality News,Tier 3,,Same INJA takeover at Vintage Asia story,https://hospitalitynews.in/events/inja-takes-over-vintage-asia-at-jw-marriott-kolkata-for-an-exclusive-three-day-culinary-experience,Feature,,,"approx, verify",,
2026-07-06,JW Marriott Kolkata,Hotels,The Lab Mag,Tier 2,,"INJA takeover listed in ""Events to Attend in Your City in July 2026"" roundup",https://www.thelabmagofficial.com/events-to-attend-in-your-city-in-july-2026/,Mention,,,approx,,
2026-07-12,JW Marriott Kolkata,Hotels,Deccan Herald,Tier 1,,"""Edible flowers"" feature - JW Marriott Kolkata's bar use of magnolia, osmanthus, rose geranium, saffron crocus, chrysanthemum",https://www.deccanherald.com/lifestyle/food-and-drink/eats-shoots-blooms-4068952,Mention,,,,,
2026-07-19,JW Marriott Kolkata,Hotels,Deccan Chronicle,Tier 1,,"""Functional ice cubes"" trend piece, quotes Najmir Aktar, Mixologist at 2:Fifty9 The Bar",https://www.deccanchronicle.com/tabloid/hyderabad-chronicle/take-a-chill-pill-with-functional-ice-cubes-1972244,Quote,,,,,
2026-07,Paashh,Independent,Publication TBD (per your image - possibly Grazia),Tier 2,No public reach/rate data found,"""The Plant-Based Sunrise"" vegan breakfast feature - Chef Ajay Chopra, Paashh Mumbai shares two millet-based recipes (Foxtail Millet Upma, Ragi Idli)",https://www.grazia.co.in/lifestyle/weekend-guide-where-to-eat-your-way-through-the-monsoon-15880.html,Quote,N/A - no public reach/rate data found (see Publication Reach Data tab),"Logged from your forwarded image - confirms Chef Ajay Chopra/Paashh content, but I could not independently verify this exact URL matches the image, or confirm the exact July date. Please confirm the source and date if this needs to go into a client report.",exact date TBD,,
2026-01-28,Pali Bhavan,Independent,Time Out Mumbai,Tier 1,"Digital — Time Out Mumbai has strong city-lifestyle digital readership, exact figure not published","Editorial coverage of Pali Bhavan's quiet reopening at Eros Cinema, Churchgate (alongside sister-restaurant Pali Village Cafe closure)",https://www.timeout.com/mumbai/news/this-beloved-mumbai-restaurant-has-closed-its-doors-012826,Mention,"N/A - global network figure only, not usable at Mumbai-edition level","Genuine editorial mention, not a directory listing — good example of what counts as real coverage vs. Zomato/Justdial/Tripadvisor noise, which was excluded. Time Out's only public figure is 16M visits/month across the ENTIRE global network (39 countries) - not a valid proxy for the Mumbai edition specifically.",,,
2026-08-08,Serious Slice (Bengaluru),Independent,The Lab Mag,Tier 3,"Digital lifestyle/F&B publication, no public circulation/traffic data found","Serious Slice named in 'Best New Restaurants, Cafes & Bars to Visit in August 2026' roundup - expansion to Indiranagar, Bengaluru",https://www.thelabmagofficial.com/best-new-restaurants-cafes-bars-in-india-to-visit-in-august-2026/,Mention,N/A - no public reach/rate data found for The Lab Mag,"Confirmed dateline (08 Aug 2026). Part of monthly new-openings roundup, one line on Serious Slice's Indiranagar expansion. New find, first coverage logged for this client.",,,
2026-07-01,Sheraton Grand Chennai Resort & Spa,Hotels,Hotelier India (print),Tier 1,"Established national trade print magazine, no public circulation found","""Paths to Profitability"" revenue management feature, quotes Vikas Chona, Director of Sales & Marketing","N/A - print magazine, no URL (image provided by Nikhila)",Quote,N/A - no public reach/rate data found (see Publication Reach Data tab),"Confirmed print issue: page footer reads ""JULY 2026 / HOTELIER INDIA"". Verified from your forwarded photo (pages 44-45). No digital link exists for this print-only piece.",print issue,,
